bod,CPOM,nutrient,temp,DO.T0,DO.TF,dDO,waterR,date,days.elap
5,no,no,25,0.136352468397921,0.203151293546494,-0.0667988251485731,-0.00273952803070019,2014-06-11,0
8,no,no,25,0.148537328482289,0.232880192737552,-0.0843428642552634,-0.00348044831864911,2014-06-11,0
6,yes,no,25,0.0632672616567416,0.0304691342520724,0.0327981274046692,0.00136185996143955,2014-06-11,0
12,yes,no,25,0.0659195763216065,0.00763225249115485,0.0582873238304516,0.00244050204454089,2014-06-11,0
13,yes,no,25,0.0438274991519747,0.0257132853732598,0.0181142137787149,0.000763775703951438,2014-06-11,0
1,yes,no,25,0.061873820119363,0.022531015683401,0.039342804435962,0.00166589150752133,2014-06-11,0
3,no,no,25,0.151335729056822,0.213802550589534,-0.0624668215327116,-0.00266193841758714,2014-06-11,0
9,no,no,25,0.137613158059522,0.200279383629673,-0.0626662255701507,-0.00268377839700859,2014-06-11,0
16,yes,yes,25,0.046647306992119,0.00991496862251569,0.0367323383696033,0.00159014451816465,2014-06-11,0
7,no,yes,25,0.172224709274319,0.215900138993745,-0.043675429719426,-0.00190030876226654,2014-06-11,0
10,yes,yes,25,0.0598685954795432,0.0221150132826376,0.0377535821969056,0.00165103129140986,2014-06-11,0
11,yes,yes,25,0.0786068281969986,0.0141248388562438,0.0644819893407548,0.00283853217934357,2014-06-11,0
2,no,yes,25,0.146382258362881,0.204145477680115,-0.0577632193172338,-0.00255401117099044,2014-06-11,0
4,yes,yes,25,0.0689288308169969,0.0188327794600455,0.0500960513569514,0.00222319754542684,2014-06-11,0
14,no,yes,25,0.152589143737183,0.184192272044889,-0.0316031283077058,-0.00141190446646489,2014-06-11,0
15,no,yes,25,0.17277269831957,0.246273493093098,-0.0735007947735281,-0.003298464986097,2014-06-11,0
9,no,no,24.7,0.269892756405952,0.243972658856938,0.0259200975490142,0.00109137252837954,2014-06-13,2
12,yes,no,24.7,0.146698742092548,0.107069433533926,0.0396293085586224,0.00167683957229714,2014-06-13,2
5,no,no,24.7,0.225200820626394,0.222862545283671,0.00233827534272293,9.9571696638308e-05,2014-06-13,2
6,yes,no,24.7,0.17002684482246,0.146200010246862,0.0238268345755979,0.00102115005323991,2014-06-13,2
8,no,no,24.7,0.215717866623641,0.200014160672118,0.0157037059515226,0.000676397959146701,2014-06-13,2
1,yes,no,24.7,0.186849604385295,0.145943661600425,0.0409059427848701,0.00177082003397706,2014-06-13,2
13,yes,no,24.7,0.16369175285571,0.162946928422321,0.000744824433389302,3.24306719908259e-05,2014-06-13,2
3,no,no,24.7,0.268668565737691,0.248069804564969,0.0205987611727217,0.000902135525812629,2014-06-13,2
16,yes,yes,24.7,0.162986151520642,0.128062812774784,0.0349233387458579,0.00154642090387563,2014-06-13,2
10,yes,yes,24.7,0.16597582296541,0.130665466720123,0.0353103562452871,0.0015693491664572,2014-06-13,2
7,no,yes,24.7,0.203453992786612,0.186964107494417,0.0164898852921947,0.00073615559340155,2014-06-13,2
15,no,yes,24.7,0.246281400411268,0.216567229472699,0.0297141709385687,0.00133247403311967,2014-06-13,2
11,yes,yes,24.7,0.181632814950746,0.134876602512321,0.0467562124384253,0.00210613569542456,2014-06-13,2
14,no,yes,24.7,NA,0.293623169819632,NA,NA,2014-06-13,2
2,no,yes,24.7,0.295135309106567,0.300130003724444,-0.0049946946178766,-0.000227031573539846,2014-06-13,2
4,yes,yes,24.7,0.17711312212842,0.153354898432302,0.023758223696118,0.00108485039708301,2014-06-13,2
3,no,no,25.3,0.216057675632945,0.203498647427226,0.0125590282057191,0.000516124446810374,2014-06-18,7
5,no,no,25.3,0.207485759921914,0.198405770726872,0.00907998919504163,0.000375723690829309,2014-06-18,7
9,no,no,25.3,0.212108854946327,0.17085222852085,0.0412566264254769,0.00171545224222357,2014-06-18,7
12,yes,no,25.3,0.177321340004791,0.179099230601634,-0.00177789059684341,-7.41302542116781e-05,2014-06-18,7
6,yes,no,25.3,0.198103702083344,0.17735225854728,0.020751443536064,0.00087374499099217,2014-06-18,7
1,yes,no,25.3,0.236895095021366,0.208679400171782,0.0282156948495844,0.00119305263634606,2014-06-18,7
13,yes,no,25.3,0.209103913106663,0.201312120998234,0.00779179210842912,0.000330627670796144,2014-06-18,7
8,no,no,25.3,0.224151457740169,0.216306600243971,0.00784485749619843,0.000334297904667547,2014-06-18,7
7,no,yes,25.3,0.227851302768303,0.208948769109221,0.0189025336590825,0.000811267539016416,2014-06-18,7
4,yes,yes,25.3,0.201708255219778,0.151018504898763,0.0506897503210146,0.00218490303107821,2014-06-18,7
16,yes,yes,25.3,0.191130822696051,0.177610112941902,0.0135207097541495,0.000585312110569241,2014-06-18,7
10,yes,yes,25.3,0.186651555786483,0.115546376214509,0.0711051795719744,0.00309152954660758,2014-06-18,7
11,yes,yes,25.3,0.223670165495517,0.180325472915518,0.0433446925799985,0.00189278133537111,2014-06-18,7
15,no,yes,25.3,0.234865094711324,0.209356292072536,0.0255088026387883,0.00111880713328019,2014-06-18,7
2,no,yes,25.3,0.224300245040583,0.228850807243073,-0.00455056220248973,-0.000200465295263865,2014-06-18,7
14,no,yes,25.3,0.210150014778244,0.202787490634618,0.00736252414362565,0.000326015829238036,2014-06-18,7
13,yes,no,23.8,0.194933561782489,0.202359429957249,-0.00742586817475974,-0.000304755191850605,2014-06-25,14
3,no,no,23.8,0.227820922472395,0.235023776522135,-0.00720285404974039,-0.000297433752914262,2014-06-25,14
8,no,no,23.8,0.233284466124687,0.276752688300963,-0.0434682221762764,-0.00180241418837359,2014-06-25,14
5,no,no,23.8,0.253623017391836,0.249526482322208,0.00409653506962823,0.000170807577607848,2014-06-25,14
1,yes,no,23.8,0.235404630968807,0.221850228141949,0.0135544028268583,0.000567525589400907,2014-06-25,14
9,no,no,23.8,0.23879990707276,0.254453828910335,-0.0156539218375749,-0.000658188724775399,2014-06-25,14
12,yes,no,23.8,0.230391276741149,0.269157955833756,-0.0387666790926073,-0.0016391830483132,2014-06-25,14
6,yes,no,23.8,0.212973206155796,0.215514896876156,-0.00254169072035992,-0.000107927419123564,2014-06-25,14
14,no,yes,23.8,0.248172069489898,0.247061146839872,0.00111092265002569,4.75430520695729e-05,2014-06-25,14
16,yes,yes,23.8,0.2193761695966,0.22961606851058,-0.0102398989139798,-0.000440741703614626,2014-06-25,14
7,no,yes,23.8,0.230240947119567,0.256599654595461,-0.0263587074758944,-0.00113942539521157,2014-06-25,14
4,yes,yes,23.8,0.217461774947401,0.224918712854739,-0.00745693790733828,-0.000323745495253471,2014-06-25,14
10,yes,yes,23.8,0.235632327081735,0.220147912327013,0.0154844147547223,0.000676175316800102,2014-06-25,14
15,no,yes,23.8,0.232549860115026,0.267883500858705,-0.035333640743679,-0.00154858907569082,2014-06-25,14
2,no,yes,23.8,0.23288708056457,0.251220710697477,-0.018333630132907,-0.000807648904533347,2014-06-25,14
11,yes,yes,23.8,0.233806677634619,0.252371393421569,-0.0185647157869501,-0.000822660965448307,2014-06-25,14
8,no,no,25.2,0.242721192142733,0.180254794552933,0.0624663975898005,0.00257416473584343,2014-07-02,21
6,yes,no,25.2,0.214855978468488,0.199560693046407,0.0152952854220813,0.000633782545113866,2014-07-02,21
13,yes,no,25.2,0.21656427134651,0.208730100739195,0.00783417060731498,0.000326197249437126,2014-07-02,21
3,no,no,25.2,0.238671422354586,0.234647554787014,0.00402386756757162,0.000168128171347003,2014-07-02,21
12,yes,no,25.2,0.242707183384274,0.227115318042754,0.0155918653415196,0.000654204140203621,2014-07-02,21
5,no,no,25.2,0.264718547903631,0.235644798201342,0.0290737497022892,0.00122587841330805,2014-07-02,21
1,yes,no,25.2,0.241881976305601,0.2323249637816,0.0095570125240011,0.000404386989732063,2014-07-02,21
9,no,no,25.2,0.251149486019725,0.23494593157261,0.016203554447115,0.000689024285490361,2014-07-02,21
7,no,yes,25.2,0.261188458123213,0.242465257480545,0.0187232006426684,0.000802422884685787,2014-07-02,21
11,yes,yes,25.2,0.255809858936067,0.218443866445783,0.037365992490284,0.00160829235969659,2014-07-02,21
14,no,yes,25.2,0.230445868499143,0.231794458729314,-0.00134859023017103,-5.81706785120503e-05,2014-07-02,21
16,yes,yes,25.2,0.23799376863091,0.220258341424861,0.0177354272060485,0.000771105530697763,2014-07-02,21
2,no,yes,25.2,0.257349817509925,0.239219503746808,0.0181303137631169,0.000793449180005114,2014-07-02,21
4,yes,yes,25.2,0.22697040947487,0.223506724244498,0.00346368523037205,0.000152138443500968,2014-07-02,21
10,yes,yes,25.2,0.255847768779996,0.205730623713315,0.0501171450666809,0.00221267748638768,2014-07-02,21
15,no,yes,25.2,0.254003136311707,0.245778595155042,0.00822454115666466,0.000364455294977754,2014-07-02,21
